epoch 2, 10 total epochs, LR 0.100000, TRAINLOSS 1.344156, TESTLOSS nan, testACC 50.08%, testmAP 0.00%, bestTestmAP 0.00%
epoch 4, 10 total epochs, LR 0.000050, TRAINLOSS 0.254985, TESTLOSS 0.770664, testACC 86.92%, testmAP 75.71%, bestTestmAP 83.63%
epoch 5, 10 total epochs, LR 0.000050, TRAINLOSS 0.200628, TESTLOSS 0.747715, testACC 88.12%, testmAP 78.06%, bestTestmAP 83.63%
epoch 6, 10 total epochs, LR 0.000050, TRAINLOSS 0.166790, TESTLOSS 0.804468, testACC 87.23%, testmAP 76.03%, bestTestmAP 83.63%
epoch 7, 10 total epochs, LR 0.000050, TRAINLOSS 0.147593, TESTLOSS 1.278212, testACC 81.55%, testmAP 63.81%, bestTestmAP 83.63%
epoch 8, 10 total epochs, LR 0.000050, TRAINLOSS 0.130543, TESTLOSS 0.958394, testACC 85.73%, testmAP 72.42%, bestTestmAP 83.63%
epoch 9, 10 total epochs, LR 0.000050, TRAINLOSS 0.116771, TESTLOSS 0.935072, testACC 87.18%, testmAP 75.99%, bestTestmAP 83.63%
epoch 10, 10 total epochs, LR 0.000050, TRAINLOSS 0.105279, TESTLOSS 1.108273, testACC 85.18%, testmAP 71.19%, bestTestmAP 83.63%

epoch 2, 10 total epochs, LR 0.000010, TRAINLOSS 0.921715, TESTLOSS 0.723802, testACC 85.17%, testmAP 80.08%, bestTestmAP 80.08%
epoch 3, 10 total epochs, LR 0.000010, TRAINLOSS 0.625184, TESTLOSS 0.639078, testACC 87.72%, testmAP 86.11%, bestTestmAP 86.11%
epoch 4, 10 total epochs, LR 0.000010, TRAINLOSS 0.518776, TESTLOSS 0.656039, testACC 87.64%, testmAP 81.05%, bestTestmAP 86.11%
epoch 5, 10 total epochs, LR 0.000010, TRAINLOSS 0.450696, TESTLOSS 0.672111, testACC 87.68%, testmAP 80.31%, bestTestmAP 86.11%
epoch 6, 10 total epochs, LR 0.000010, TRAINLOSS 0.403313, TESTLOSS 0.675735, testACC 87.52%, testmAP 79.60%, bestTestmAP 86.11%
epoch 7, 10 total epochs, LR 0.000010, TRAINLOSS 0.367677, TESTLOSS 0.740773, testACC 86.63%, testmAP 76.89%, bestTestmAP 86.11%
epoch 8, 10 total epochs, LR 0.000010, TRAINLOSS 0.342059, TESTLOSS 0.752407, testACC 87.13%, testmAP 77.78%, bestTestmAP 86.11%
epoch 9, 10 total epochs, LR 0.000010, TRAINLOSS 0.316941, TESTLOSS 0.821583, testACC 86.19%, testmAP 75.29%, bestTestmAP 86.11%
epoch 10, 10 total epochs, LR 0.000010, TRAINLOSS 0.297851, TESTLOSS 1.002415, testACC 83.74%, testmAP 69.60%, bestTestmAP 86.11%

epoch 2, 10 total epochs, LR 0.000001, TRAINLOSS 1.388756, TESTLOSS 1.137333, testACC 67.62%, testmAP 57.29%, bestTestmAP 57.29%
epoch 3, 10 total epochs, LR 0.000001, TRAINLOSS 1.077348, TESTLOSS 1.006078, testACC 73.89%, testmAP 68.84%, bestTestmAP 68.84%
epoch 4, 10 total epochs, LR 0.000001, TRAINLOSS 0.990279, TESTLOSS 0.941949, testACC 76.53%, testmAP 74.34%, bestTestmAP 74.34%
epoch 5, 10 total epochs, LR 0.000001, TRAINLOSS 0.939479, TESTLOSS 0.901129, testACC 77.62%, testmAP 77.08%, bestTestmAP 77.08%
epoch 6, 10 total epochs, LR 0.000001, TRAINLOSS 0.900279, TESTLOSS 0.864079, testACC 79.11%, testmAP 78.03%, bestTestmAP 78.03%
epoch 7, 10 total epochs, LR 0.000001, TRAINLOSS 0.860284, TESTLOSS 0.833965, testACC 80.70%, testmAP 78.88%, bestTestmAP 78.88%
epoch 8, 10 total epochs, LR 0.000001, TRAINLOSS 0.824734, TESTLOSS 0.809336, testACC 81.64%, testmAP 79.86%, bestTestmAP 79.86%
epoch 9, 10 total epochs, LR 0.000001, TRAINLOSS 0.794167, TESTLOSS 0.779639, testACC 82.85%, testmAP 80.93%, bestTestmAP 80.93%
epoch 10, 10 total epochs, LR 0.000001, TRAINLOSS 0.764375, TESTLOSS 0.761931, testACC 83.42%, testmAP 81.36%, bestTestmAP 81.36%

------------------------------------------------------------------

epoch 2, 6 total epochs, LR 0.000100, TRAINLOSS 1.122851, TESTLOSS 1.111146, testACC 64.57%, testmAP 52.48%, bestTestmAP 52.48%
epoch 3, 6 total epochs, LR 0.000100, TRAINLOSS 0.956136, TESTLOSS 1.088862, testACC 66.75%, testmAP 58.68%, bestTestmAP 58.68%
epoch 4, 6 total epochs, LR 0.000100, TRAINLOSS 0.877645, TESTLOSS 1.043150, testACC 69.40%, testmAP 60.06%, bestTestmAP 60.06%
epoch 5, 6 total epochs, LR 0.000100, TRAINLOSS 0.821136, TESTLOSS 1.076865, testACC 69.61%, testmAP 55.89%, bestTestmAP 60.06%
epoch 6, 6 total epochs, LR 0.000100, TRAINLOSS 0.771559, TESTLOSS 1.093132, testACC 70.24%, testmAP 59.73%, bestTestmAP 60.06%

epoch 2, 6 total epochs, LR 0.000100, TRAINLOSS 0.934745, TESTLOSS 0.901580, testACC 75.18%, testmAP 70.84%, bestTestmAP 70.84%
epoch 3, 6 total epochs, LR 0.000100, TRAINLOSS 0.696515, TESTLOSS 0.914169, testACC 76.78%, testmAP 65.28%, bestTestmAP 70.84%
epoch 4, 6 total epochs, LR 0.000100, TRAINLOSS 0.601478, TESTLOSS 0.865851, testACC 78.72%, testmAP 72.04%, bestTestmAP 72.04%
epoch 5, 6 total epochs, LR 0.000100, TRAINLOSS 0.528359, TESTLOSS 0.966480, testACC 78.09%, testmAP 66.97%, bestTestmAP 72.04%
epoch 6, 6 total epochs, LR 0.000100, TRAINLOSS 0.472920, TESTLOSS 0.933929, testACC 79.24%, testmAP 69.92%, bestTestmAP 72.04%

epoch 2, 6 total epochs, LR 0.000100, TRAINLOSS 0.835428, TESTLOSS 0.807402, testACC 80.40%, testmAP 70.44%, bestTestmAP 70.44%
epoch 3, 6 total epochs, LR 0.000100, TRAINLOSS 0.528970, TESTLOSS 0.744933, testACC 83.52%, testmAP 77.68%, bestTestmAP 77.68%
epoch 4, 6 total epochs, LR 0.000100, TRAINLOSS 0.406180, TESTLOSS 0.796761, testACC 82.78%, testmAP 72.34%, bestTestmAP 77.68%
epoch 5, 6 total epochs, LR 0.000100, TRAINLOSS 0.341667, TESTLOSS 0.931165, testACC 82.63%, testmAP 70.52%, bestTestmAP 77.68%
epoch 6, 6 total epochs, LR 0.000100, TRAINLOSS 0.293958, TESTLOSS 0.862789, testACC 83.51%, testmAP 72.86%, bestTestmAP 77.68%

epoch 2, 6 total epochs, LR 0.000100, TRAINLOSS 0.677436, TESTLOSS 0.732219, testACC 84.25%, testmAP 77.62%, bestTestmAP 77.62%
epoch 3, 6 total epochs, LR 0.000100, TRAINLOSS 0.403164, TESTLOSS 0.720650, testACC 85.15%, testmAP 77.87%, bestTestmAP 77.87%
epoch 4, 6 total epochs, LR 0.000100, TRAINLOSS 0.325266, TESTLOSS 0.821640, testACC 84.24%, testmAP 73.41%, bestTestmAP 77.87%
